test loss,training loss,test accuracy,training accuracy,model_nr,Sparsity,epochs,dataset
0.4857146441936493,0.4926493465900421,0.865119457244873,0.8620244860649109,7,WT(CIFAR),2,SVHN
0.45914047956466675,0.4407607614994049,0.8731740713119507,0.8766759634017944,7,WT(CIFAR),3,SVHN
0.440317839384079,0.40134185552597046,0.8798635005950928,0.8873839974403381,7,WT(CIFAR),4,SVHN
0.6733365654945374,1.2859426736831665,0.8090102672576904,0.5890311002731323,8,WT(CIFAR),0,SVHN
0.5432642102241516,0.593843936920166,0.8450511693954468,0.8319783806800842,8,WT(CIFAR),1,SVHN
0.49280649423599243,0.4958827495574951,0.8588395714759827,0.859855592250824,8,WT(CIFAR),2,SVHN
0.46309635043144226,0.44174134731292725,0.8698976039886475,0.8752806186676025,8,WT(CIFAR),3,SVHN
0.44311070442199707,0.40052875876426697,0.8760409355163574,0.8870047926902771,8,WT(CIFAR),4,SVHN
0.6580898761749268,1.2439061403274536,0.8117406368255615,0.6042589545249939,9,WT(CIFAR),0,SVHN
0.537649929523468,0.5874785780906677,0.8480545878410339,0.8363162279129028,9,WT(CIFAR),1,SVHN
0.49285659193992615,0.4947214722633362,0.8606143593788147,0.8624643683433533,9,WT(CIFAR),2,SVHN
0.4617532789707184,0.44252046942710876,0.8703071475028992,0.8757507801055908,9,WT(CIFAR),3,SVHN
0.43846216797828674,0.402771532535553,0.8783617615699768,0.8868986368179321,9,WT(CIFAR),4,SVHN
0.6589528918266296,1.233432650566101,0.8135153651237488,0.6100831031799316,10,WT(CIFAR),0,SVHN
0.536568284034729,0.5840883851051331,0.8503754138946533,0.8360735177993774,10,WT(CIFAR),1,SVHN
0.4924478530883789,0.49170801043510437,0.8607508540153503,0.8625705242156982,10,WT(CIFAR),2,SVHN
0.46795788407325745,0.4397134482860565,0.8683959245681763,0.8768124580383301,10,WT(CIFAR),3,SVHN
0.45186397433280945,0.3999515175819397,0.873720109462738,0.8871261477470398,10,WT(CIFAR),4,SVHN
0.6680992841720581,1.2587107419967651,0.80887371301651,0.6003761291503906,11,WT(CIFAR),0,SVHN
0.5444522500038147,0.5990779399871826,0.8476450443267822,0.8309773802757263,11,WT(CIFAR),1,SVHN
0.4986158609390259,0.5055299401283264,0.8612969517707825,0.8589456081390381,11,WT(CIFAR),2,SVHN
0.47067973017692566,0.45484721660614014,0.868805468082428,0.8732482194900513,11,WT(CIFAR),3,SVHN
0.45040133595466614,0.41677212715148926,0.8765870332717896,0.8832736611366272,11,WT(CIFAR),4,SVHN
0.6596065163612366,1.2347841262817383,0.8094198107719421,0.6098101139068604,12,WT(CIFAR),0,SVHN
0.5384888052940369,0.5875412821769714,0.8475085496902466,0.8350573182106018,12,WT(CIFAR),1,SVHN
0.49075472354888916,0.49790704250335693,0.8610239028930664,0.8604167699813843,12,WT(CIFAR),2,SVHN
0.46326717734336853,0.44738373160362244,0.869078516960144,0.8752199411392212,12,WT(CIFAR),3,SVHN
0.4447391629219055,0.408383309841156,0.873720109462738,0.8851240873336792,12,WT(CIFAR),4,SVHN
0.6701087355613708,1.2999755144119263,0.8043686151504517,0.5811745524406433,13,WT(CIFAR),0,SVHN
0.538901150226593,0.5964785218238831,0.8475085496902466,0.8336012959480286,13,WT(CIFAR),1,SVHN
0.4910047650337219,0.5007259249687195,0.862389087677002,0.8598859310150146,13,WT(CIFAR),2,SVHN
0.4646090269088745,0.448210209608078,0.871262788772583,0.8746739029884338,13,WT(CIFAR),3,SVHN
0.44829240441322327,0.4070357382297516,0.8763139843940735,0.8862767815589905,13,WT(CIFAR),4,SVHN
0.6668264269828796,1.2391449213027954,0.8073720335960388,0.6093096137046814,14,WT(CIFAR),0,SVHN
