,mean,std,layer,variable,distance_measure
RSN,0.041055359947767815,0.007411856470292421,dense1,prune_rate_out,js_divergence
RSN_CIFAR,0.12760042288600013,0.016527952418986584,dense1,prune_rate_out,js_divergence
RSN_CINIC,0.20343032189531368,0.01876293231973273,dense1,prune_rate_out,js_divergence
RSN_SVHN,0.11484669040623594,0.01631040343728934,dense1,prune_rate_out,js_divergence
CIFAR_SVHN,0.07221076367477616,0.013804082847283934,dense1,prune_rate_out,js_divergence
CINIC_CIFAR,0.13968968010892907,0.019118736494705826,dense1,prune_rate_out,js_divergence
SVHN_CINIC,0.130860865428184,0.016368963415251563,dense1,prune_rate_out,js_divergence
within_WTs,0.06994550066509599,0.01100277972017765,dense1,prune_rate_out,js_divergence
within_conditions,0.06272296548576393,0.016156262516813256,dense1,prune_rate_out,js_divergence
between_WTs_and_RSN,0.14862581172918324,0.042731254949171286,dense1,prune_rate_out,js_divergence
between_WT_datasets,0.11425376973729641,0.0342267793508322,dense1,prune_rate_out,js_divergence
CIFAR,0.6579708473926673,0.0102912268162674,dense1,sign_rate_in,js_divergence
CINIC,0.5676732643058402,0.011694763698048706,dense1,sign_rate_in,js_divergence
SVHN,0.5951773706505831,0.015238657245063384,dense1,sign_rate_in,js_divergence
RSN,0.660686398122475,0.008018619618879636,dense1,sign_rate_in,js_divergence
RSN_CIFAR,0.6877399785167312,0.004169338613743113,dense1,sign_rate_in,js_divergence
RSN_CINIC,0.687715835133818,0.004016956360594615,dense1,sign_rate_in,js_divergence
RSN_SVHN,0.687703249249775,0.0037649386733851938,dense1,sign_rate_in,js_divergence
CIFAR_SVHN,0.6384165912842613,0.01472320272079481,dense1,sign_rate_in,js_divergence
CINIC_CIFAR,0.6330716923452393,0.016360425920894935,dense1,sign_rate_in,js_divergence
SVHN_CINIC,0.5826086447819439,0.01506820788435012,dense1,sign_rate_in,js_divergence
within_WTs,0.6069404941163634,0.039829958942725535,dense1,sign_rate_in,js_divergence
within_conditions,0.6203769701178914,0.04180323491311855,dense1,sign_rate_in,js_divergence
between_WTs_and_RSN,0.6877196876334415,0.003987262338810006,dense1,sign_rate_in,js_divergence
between_WT_datasets,0.6180323094704815,0.02948460121147873,dense1,sign_rate_in,js_divergence
CIFAR,0.5436192897931778,0.015529021675993663,dense1,sign_rate_out,js_divergence
CINIC,0.5662080019858173,0.016527022356509574,dense1,sign_rate_out,js_divergence
